,officer_age_1,officer_age_10,officer_age_11,officer_age_2,officer_age_3,officer_age_4,officer_age_5,officer_age_6,officer_age_7,officer_age_8,officer_age_9,officer_caused_injury_2,officer_caused_injury_3,officer_gender_1,officer_gender_10,officer_gender_11,officer_gender_2,officer_gender_3,officer_gender_4,officer_gender_5,officer_gender_6,officer_gender_7,officer_gender_8,officer_gender_9,officer_on_duty,officer_race_1,officer_race_10,officer_race_11,officer_race_2,officer_race_3,officer_race_4,officer_race_5,officer_race_6,officer_race_7,officer_race_8,officer_race_9
214,40.0,,,,,,,,,,,,,FEMALE,,,,,,,,,,,True,WHITE,,,,,,,,,,
215,43.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,WHITE,,,,,,,,,,
216,43.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,HISPANIC,,,,,,,,,,
217,28.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,WHITE,,,,,,,,,,
218,41.0,,,41.0,41.0,,,,,,,,,MALE,,,MALE,MALE,,,,,,,True,HISPANIC,,,HISPANIC,HISPANIC,,,,,,
219,37.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,WHITE,,,,,,,,,,
220,35.0,,,46.0,,,,,,,,,,MALE,,,MALE,,,,,,,,True,WHITE,,,WHITE,,,,,,,
221,45.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,HISPANIC,,,,,,,,,,
222,35.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,WHITE,,,,,,,,,,
223,36.0,,,32.0,49.0,45.0,,,,,,TRAFFIC STOP,,MALE,,,MALE,MALE,MALE,,,,,,True,WHITE,,,WHITE,BLACK,WHITE,,,,,
224,40.0,,,,,,,,,,,,,MALE,,,,,,,,,,,False,HISPANIC,,,,,,,,,,
225,37.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,HISPANIC,,,,,,,,,,
226,31.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,WHITE,,,,,,,,,,
227,33.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,WHITE,,,,,,,,,,
228,29.0,,,28.0,,,,,,,,,,MALE,,,MALE,,,,,,,,True,BLACK,,,HISPANIC,,,,,,,
229,26.0,,,51.0,,,,,,,,,,MALE,,,MALE,,,,,,,,True,WHITE,,,WHITE,,,,,,,
230,46.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,WHITE,,,,,,,,,,
231,43.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,HISPANIC,,,,,,,,,,
232,32.0,,,54.0,,,,,,,,"HOSTAGE, BARRICADE, OR OTHER EMERGENCY SITUATION",,MALE,,,MALE,,,,,,,,True,WHITE,,,WHITE,,,,,,,
233,47.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,OTHER,,,,,,,,,,
234,33.0,,,,,,,,,,,"HOSTAGE, BARRICADE, OR OTHER EMERGENCY SITUATION",,MALE,,,,,,,,,,,True,HISPANIC,,,,,,,,,,
235,24.0,,,,,,,,,,,"HOSTAGE, BARRICADE, OR OTHER EMERGENCY SITUATION",,MALE,,,,,,,,,,,True,HISPANIC,,,,,,,,,,
236,23.0,,,27.0,,,,,,,,,,MALE,,,MALE,,,,,,,,True,HISPANIC,,,HISPANIC,,,,,,,
